title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"The Benefits, Challenges, and Potential Roles for the Government in Fostering the Advancement of the Internet of Things",Notice,Commerce Department; National Telecommunications and Information Administration,"In response to requests for additional time, the Department of Commerce is extending the closing deadline for submitting comments to a request for public comments entitled ``The Benefits, Challenges, and Potential Roles for the Government in Fostering the Advancement of the Internet of Things.'' 82 FR 4313 (Jan. 13, 2017). In the request for comment, the Department is seeking broad input from all interested stakeholders--including the private industry, researchers, academia, and civil society--on the issues and proposed approach, current initiatives, and next steps laid out in the green paper ``Fostering the Advancement of the Internet of Things.'' Through this notice, the Department extends the comment period to March 13, 2017.", 2017-03682,https://www.federalregister.gov/documents/2017/02/24/2017-03682/the-benefits-challenges-and-potential-roles-for-the-government-in-fostering-the-advancement-of-the,https://www.gpo.gov/fdsys/pkg/FR-2017-02-24/pdf/2017-03682.pdf,02/24/2017
Multistakeholder Process on Internet of Things Security Upgradability and Patching,Notice,Commerce Department; National Telecommunications and Information Administration,"The National Telecommunications and Information Administration (NTIA) will convene a virtual meeting of a multistakeholder process concerning Internet of Things Security Upgradability and Patching on January 31, 2017.", 2017-00817,https://www.federalregister.gov/documents/2017/01/17/2017-00817/multistakeholder-process-on-internet-of-things-security-upgradability-and-patching,https://www.gpo.gov/fdsys/pkg/FR-2017-01-17/pdf/2017-00817.pdf,01/17/2017
"The Benefits, Challenges, and Potential Roles for the Government in Fostering the Advancement of the Internet of Things",Notice,Commerce Department; National Telecommunications and Information Administration,"Recognizing the vital importance of the Internet to U.S. innovation, prosperity, education, and civic and cultural life, the Department of Commerce (Department) has made it a top priority to encourage growth of the digital economy and ensure that the Internet remains an open platform for innovation. Thus, as part of the Department's Digital Economy Agenda, the National Telecommunications and Information Administration (NTIA) issued a green paper ``Fostering the Advancement of the Internet of Things'' that lays out an approach and areas of engagement for the Department's possible future work on the Internet of Things (IoT). Through this Notice, NTIA seeks broad input from all interested stakeholders--including the private industry, researchers, academia, and civil society--on the issues and proposed approach, current initiatives, and next steps laid out in this paper. These comments will help inform Department leadership on possible future Department action regarding IoT.", 2017-00720,https://www.federalregister.gov/documents/2017/01/13/2017-00720/the-benefits-challenges-and-potential-roles-for-the-government-in-fostering-the-advancement-of-the,https://www.gpo.gov/fdsys/pkg/FR-2017-01-13/pdf/2017-00720.pdf,01/13/2017
Multistakeholder Process on Internet of Things Security Upgradability and Patching,Notice,Commerce Department; National Telecommunications and Information Administration,"The National Telecommunications and Information Administration (NTIA) will convene meetings of a multistakeholder process concerning Internet of Things Security Upgradability and Patching. This Notice announces the first meeting, which is scheduled for October 19, 2016.", 2016-22459,https://www.federalregister.gov/documents/2016/09/19/2016-22459/multistakeholder-process-on-internet-of-things-security-upgradability-and-patching,https://www.gpo.gov/fdsys/pkg/FR-2016-09-19/pdf/2016-22459.pdf,09/19/2016
Fostering the Advancement of the Internet of Things Workshop,Notice,Commerce Department; National Telecommunications and Information Administration,The National Telecommunications and Information Administration (NTIA) will convene a workshop on behalf of the U.S. Department of Commerce's Internet Policy Task Force and the Digital Economy Leadership Team on Fostering the Advancement of the Internet of Things., 2016-19048,https://www.federalregister.gov/documents/2016/08/11/2016-19048/fostering-the-advancement-of-the-internet-of-things-workshop,https://www.gpo.gov/fdsys/pkg/FR-2016-08-11/pdf/2016-19048.pdf,08/11/2016
"The Benefits, Challenges, and Potential Roles for the Government in Fostering the Advancement of the Internet of Things",Notice,Commerce Department; National Telecommunications and Information Administration,"On April 6, 2016, the National Telecommunications and Information Administration (NTIA) issued a notice and request for public comments to initiate an inquiry to review the current technological and policy landscape for the Internet of Things (IoT). In response to requests for additional time in which to comment, NTIA through this notice extends the closing deadline for submitting comments.", 2016-11124,https://www.federalregister.gov/documents/2016/05/11/2016-11124/the-benefits-challenges-and-potential-roles-for-the-government-in-fostering-the-advancement-of-the,https://www.gpo.gov/fdsys/pkg/FR-2016-05-11/pdf/2016-11124.pdf,05/11/2016
"The Benefits, Challenges, and Potential Roles for the Government in Fostering the Advancement of the Internet of Things",Notice,Commerce Department; National Telecommunications and Information Administration,"Recognizing the vital importance of the Internet to U.S. innovation, prosperity, education, and civic and cultural life, the Department of Commerce has made it a top priority to encourage growth of the digital economy and ensure that the Internet remains an open platform for innovation. Thus, as part of the Department's Digital Economy Agenda, the National Telecommunications and Information Administration (NTIA) is initiating an inquiry regarding the Internet of Things (IoT) to review the current technological and policy landscape. Through this Notice, NTIA seeks broad input from all interested stakeholders--including the private industry, researchers, academia, and civil society--on the potential benefits and challenges of these technologies and what role, if any, the U.S. Government should play in this area. After analyzing the comments, the Department intends to issue a ``green paper'' that identifies key issues impacting deployment of these technologies, highlights potential benefits and challenges, and identifies possible roles for the federal government in fostering the advancement of IoT technologies in partnership with the private sector.", 2016-07892,https://www.federalregister.gov/documents/2016/04/06/2016-07892/the-benefits-challenges-and-potential-roles-for-the-government-in-fostering-the-advancement-of-the,https://www.gpo.gov/fdsys/pkg/FR-2016-04-06/pdf/2016-07892.pdf,04/06/2016
Open Meeting of the Commission on Enhancing National Cybersecurity,Notice,Commerce Department; National Institute of Standards and Technology,"The Commission on Enhancing National Cybersecurity will meet Tuesday, August 23, 2016, from 9:00 a.m. until 5:00 p.m. Central Time at the University of Minnesota's TCF Bank Stadium-DQ Club Room. The primary purpose of the meeting is to discuss the challenges and opportunities for organizations and consumers in securing the digital economy. In particular, the meeting will address: (1) Challenges confronting consumers in the digital economy; (2) innovation (Internet of Things, healthcare, and other areas); and (3) assured products and services. The meeting will support detailed recommendations to strengthen cybersecurity in both the public and private sectors while protecting privacy, ensuring public safety and economic and national security, fostering discovery and development of new technical solutions, and bolstering partnerships between Federal, State, local, tribal and territorial governments and the private sector in the development, promotion, and use of cybersecurity technologies, policies, and best practices. All sessions will be open to the public.", 2016-16742,https://www.federalregister.gov/documents/2016/07/15/2016-16742/open-meeting-of-the-commission-on-enhancing-national-cybersecurity,https://www.gpo.gov/fdsys/pkg/FR-2016-07-15/pdf/2016-16742.pdf,07/15/2016
Open Meeting of the Information Security and Privacy Advisory Board,Notice,Commerce Department; National Institute of Standards and Technology,"The Information Security and Privacy Advisory Board (ISPAB) will meet Wednesday, October 26, 2016, from 9:00 a.m. until 5:00 p.m., Eastern Time, Thursday, October 27, 2016, from 9:00 a.m. until 5:00 p.m., Eastern Time, and Friday, October 28, 2016 from 9:00 a.m. until 12:00 p.m. Eastern Time. All sessions will be open to the public.", 2016-23338,https://www.federalregister.gov/documents/2016/09/28/2016-23338/open-meeting-of-the-information-security-and-privacy-advisory-board,https://www.gpo.gov/fdsys/pkg/FR-2016-09-28/pdf/2016-23338.pdf,09/28/2016
"The Incentives, Benefits, Costs, and Challenges to IPv6 Implementation",Notice,Commerce Department; National Telecommunications and Information Administration,"Recognizing the exhaustion of Internet Protocol version 4 (IPv4) address space and the imperative for Internet Protocol version 6 (IPv6) implementation and use, the National Telecommunications and Information Administration (NTIA) is seeking input to guide NTIA in future IPv6 promotional activities. Through this Notice, NTIA invites adopters and implementers of IPv6 as well as any other interested stakeholders to share information on the benefits, costs, and challenges they have experienced, as well as any insight into additional incentives that could aid future adoption, implementation, and support of IPv6. After analyzing the comments, the Department intends to aggregate input received into a report that will be used to inform domestic and global efforts focused on IPv6 promotion, including any potential NTIA initiatives.", 2016-19722,https://www.federalregister.gov/documents/2016/08/18/2016-19722/the-incentives-benefits-costs-and-challenges-to-ipv6-implementation,https://www.gpo.gov/fdsys/pkg/FR-2016-08-18/pdf/2016-19722.pdf,08/18/2016
