title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"Preparation of an Environmental Impact Statement on Transit Improvements in the North-South Corridor of Kansas City, MO",Notice,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) and the Kansas City Area Transportation Authority (KCATA) intend to prepare an Environmental Impact Statement (EIS) in accordance with the National Environmental Policy Act (NEPA) to assess the environmental and community impacts of transit improvements proposed by KCATA and the City of Kansas City, Missouri in a 12-mile North/South travel corridor in the Kansas City metropolitan area. Because KCATA may decide to seek FTA New Starts funding for transit improvements in the corridor, this work will also satisfy the FTA requirement for an Alternatives Analysis through the development of a combined Alternatives Analysis/Draft Environmental Impact Statement (AA/DEIS). Possible transit improvements in the corridor are intended to improve access to the major employment center located in the central portion of the region, especially for that segment of the population that does not have access to the auto-oriented transportation system. Additionally, new transit facilities would support sustainable development patterns in the corridor. Alternatives proposed to be considered for accomplishing these purposes include (1) The Future No- Build Alternative, (2) a Transportation System Management (TSM) alternative that includes improvements to bus services, and (3) various fixed-guideway transit alternatives, including the light rail transit (LRT) line developed by the Citizens' Light Rail Task Force. Scoping of the EIS will be accomplished through meetings and correspondence with interested individuals, organizations, Federal, State, and local governmental agencies, and Native American tribes.", E8-1510,https://www.federalregister.gov/documents/2008/01/30/E8-1510/preparation-of-an-environmental-impact-statement-on-transit-improvements-in-the-north-south-corridor,https://www.gpo.gov/fdsys/pkg/FR-2008-01-30/pdf/E8-1510.pdf,01/30/2008
Environmental Technologies Trade Advisory Committee (ETTAC),Notice,Commerce Department; International Trade Administration,"The Environmental Technologies Trade Advisory Committee will hold a plenary meeting on February 22, 2002, at the U.S. Department of Commerce. ETTAC will hear briefings on the World Summit for Sustainable Development; the Trade Compliance Center's outreach program; the Agency for International Development's Global Development Alliance; and a status report on the U.S.-Asia Environmental Partnership. ETTAC will also be briefed on current World Trade Organization issues including an update on responses to the Office of Environmental Technologies Industries' (ETI) Survey of Non-Tariff Barriers to trade in environmental technologies. The meeting is open to the public. ETTAC is mandated by Public Law 103-392. It was created to advise the U.S. government on environmental trade policies and programs, and to help it to focus its resources on increasing the exports of the U.S. environmental industry. The ETTAC operates as an advisory committee to the Secretary of Commerce and the interagency Environmental Trade Working Group (ETWG) of the Trade Promotion Coordinating Committee (TPCC). The ETTAC was originally chartered in May of 1994. It was most recently rechartered until May 30, 2002. For further information phone Jane Siegel, ETI, International Trade Administration, U.S. Department of Commerce at (202) 482-5225. This meeting is physically accessible to people with disabilities. Requests for sign language interpretation or other auxiliary aids should be directed to ETI.", 02-2569,https://www.federalregister.gov/documents/2002/02/04/02-2569/environmental-technologies-trade-advisory-committee-ettac,https://www.gpo.gov/fdsys/pkg/FR-2002-02-04/pdf/02-2569.pdf,02/04/2002
"National Technical Assistance, Training, Research, and Evaluation-Request for Grant Proposals",Notice,Commerce Department; Economic Development Administration,"A total of $361,879,000 is available to EDA for all its programs in FY 2000, of which approximately $1,601,000 will be available for National Technical Assistance, Training, Research, and Evaluation. EDA is soliciting proposals for the specific projects described herein: (1) Evaluation of EDA's Planning Program; (2) Evaluation of EDA's Local Technical Assistance Program; (3) Economic Assessment of Sustainable Development Projects; (4) Improving Technology-Led Economic Development Strategies; and (5) Reviews of Economic Development Literature and Practice. These projects will be funded if acceptable proposals are received. Remaining funding, if any, may be used to fund additional projects. EDA issues this Notice to describe the conditions under which eligible applications for these National Technical Assistance, Training, Research, and Evaluation projects under 13 CFR Part 307, Subpart C (64 FR 5347, 5428-5429; 64 FR 69878-879) will be accepted and selected for funding.", 00-1628,https://www.federalregister.gov/documents/2000/01/24/00-1628/national-technical-assistance-training-research-and-evaluation-request-for-grant-proposals,https://www.gpo.gov/fdsys/pkg/FR-2000-01-24/pdf/00-1628.pdf,01/24/2000
"Executive-Led Power Technologies Trade Mission to the United Arab Emirates and Saudi Arabia, March 12-16, 2017",Notice,Commerce Department; International Trade Administration,"The United States Department of Commerce (DOC), International Trade Administration (ITA), is organizing an executive-led Power Technologies Trade Mission to the United Arab Emirates (UAE) and Saudi Arabia (KSA) on March 12-16, 2017. The purpose of the trade mission is to introduce U.S. firms to KSA and UAE's expanding power technology sector, which seeks to procure power equipment, distribution, power grid, as well as spare parts, and equipment with a focus on the renewable sector, and also to assist those U.S. firms in pursuing export opportunities in this sector, by helping new-to-market companies learn about the KSA and UAE energy markets and make initial contacts, and by supporting U.S. companies already doing business in the KSA and UAE to widen and deepen their business interests.", 2016-24479,https://www.federalregister.gov/documents/2016/10/11/2016-24479/executive-led-power-technologies-trade-mission-to-the-united-arab-emirates-and-saudi-arabia-march,https://www.gpo.gov/fdsys/pkg/FR-2016-10-11/pdf/2016-24479.pdf,10/11/2016
"Notice of Intent To Prepare an Environmental Assessment on the Issuance of Incidental Take Authorizations in Cook Inlet, Alaska",Notice,Commerce Department; National Oceanic and Atmospheric Administration,"The National Marine Fisheries Service announces: (1) Its intent to prepare an Environmental Assessment (EA) to analyze the environmental impacts of issuing annual incidental harassment authorizations (IHAs) pursuant to the Marine Mammal Protection Act (MMPA) for the taking of marine mammals incidental to anthropogenic activities in the waters of Cook Inlet, Alaska, for the 2017 season; and (2) its intent to continue an annual cycle for issuing MMPA IHAs in Cook Inlet such that companies planning to submit IHA applications for work to be conducted in Cook Inlet in 2017 do so by no later than October 15, 2016. Further, we refer prospective applicants to our new Technical Guidance for Assessing the Effects of Anthropogenic Sound on Marine Mammal Hearing (http://www.nmfs.noaa.gov/pr/acoustics/ guidelines.htm), which should be used in the analysis of auditory effects.", 2016-23327,https://www.federalregister.gov/documents/2016/09/28/2016-23327/notice-of-intent-to-prepare-an-environmental-assessment-on-the-issuance-of-incidental-take,https://www.gpo.gov/fdsys/pkg/FR-2016-09-28/pdf/2016-23327.pdf,09/28/2016
Endangered and Threatened Species; Identification of 14 Distinct Population Segments of the Humpback Whale (Megaptera novaeangliae) and Revision of Species-Wide Listing,Rule,Commerce Department; National Oceanic and Atmospheric Administration,"We, NMFS, issue a final determination to revise the listing status of the humpback whale (Megaptera novaeangliae) under the Endangered Species Act (ESA). We divide the globally listed endangered species into 14 distinct population segments (DPS), remove the current species-level listing, and in its place list four DPSs as endangered and one DPS as threatened. Based on their current statuses, the remaining nine DPSs do not warrant listing. At this time, we find that critical habitat is not determinable for the three listed DPSs that occur in U.S. waters (Western North Pacific, Mexico, Central America); we will consider designating critical habitat for these three DPSs in a separate rulemaking.", 2016-21276,https://www.federalregister.gov/documents/2016/09/08/2016-21276/endangered-and-threatened-species-identification-of-14-distinct-population-segments-of-the-humpback,https://www.gpo.gov/fdsys/pkg/FR-2016-09-08/pdf/2016-21276.pdf,09/08/2016
Statewide and Nonmetropolitan Transportation Planning; Metropolitan Transportation Planning,Rule,Transportation Department; Federal Highway Administration; Federal Transit Administration,"The FHWA and FTA are jointly issuing this final rule to update the regulations governing the development of metropolitan transportation plans (MTP) and programs for urbanized areas, long-range statewide transportation plans and programs, and the congestion management process as well as revisions related to the use of and reliance on planning products developed during the planning process for project development and the environmental review process. The changes reflect the passage of the Moving Ahead for Progress in the 21st Century Act (MAP-21) and the Fixing America's Surface Transportation (FAST) Act. The MAP-21 continues many provisions related to transportation planning from prior laws; however, it introduces transformational changes and adds some new provisions. The FAST Act makes minor edits to existing provisions. The changes make the regulations consistent with current statutory requirements and implement the following: A new mandate for State departments of transportation (hereafter referred to simply as ``States'') and metropolitan planning organizations (MPO) to take a performance-based approach to planning and programming; a new emphasis on the nonmetropolitan transportation planning process, by requiring States to have a higher level of involvement with nonmetropolitan local officials and providing a process for the creation of regional transportation planning organizations (RTPO); a structural change to the membership of the larger MPOs; a new framework for voluntary scenario planning; new authority for the integration of the planning and environmental review processes; and a process for programmatic mitigation plans.", 2016-11964,https://www.federalregister.gov/documents/2016/05/27/2016-11964/statewide-and-nonmetropolitan-transportation-planning-metropolitan-transportation-planning,https://www.gpo.gov/fdsys/pkg/FR-2016-05-27/pdf/2016-11964.pdf,05/27/2016
Endangered and Threatened Wildlife and Plants; Final Rule To List Eleven Distinct Population Segments of the Green Sea Turtle (Chelonia mydas) as Endangered or Threatened and Revision of Current Listings Under the Endangered Species Act,Rule,Interior Department; Fish and Wildlife Service; Commerce Department; National Oceanic and Atmospheric Administration,"NMFS and USFWS issue a final rule to list 11 distinct population segments (DPSs) of the green sea turtle (Chelonia mydas; hereafter referred to as the green turtle) under the Endangered Species Act (ESA). Based on the best available scientific and commercial data, and after considering comments on the proposed rule, we have determined that three DPSs are endangered species and eight DPSs are threatened species. This rule supersedes the 1978 final listing rule for green turtles. It applies the existing protective regulations to the DPSs. Critical habitat is not determinable at this time but will be proposed in a future rulemaking. In the interim, the existing critical habitat designation (i.e., waters surrounding Culebra Island, Puerto Rico) remains in effect for the North Atlantic DPS.", 2016-07587,https://www.federalregister.gov/documents/2016/04/06/2016-07587/endangered-and-threatened-wildlife-and-plants-final-rule-to-list-eleven-distinct-population-segments,https://www.gpo.gov/fdsys/pkg/FR-2016-04-06/pdf/2016-07587.pdf,04/06/2016
Endangered and Threatened Wildlife and Plants; Final Listing Determinations on Proposal To List the Banggai Cardinalfish and Harrisson's Dogfish Under the Endangered Species Act,Rule,Commerce Department; National Oceanic and Atmospheric Administration,"In response to a petition, we, NMFS, issue a final rule to list the Banggai cardinalfish (Pterapogon kauderni) as a threatened species under the Endangered Species Act (ESA). We have also determined that the proposed listing of Harrisson's dogfish shark (Centrophorus harrissoni) as a threatened species is not warranted at this time. We will not designate critical habitat for Banggai cardinalfish because the geographical areas occupied by this species are entirely outside U.S. jurisdiction, and we have not identified any unoccupied areas within U.S. jurisdiction that are currently essential to the conservation of this species.", 2016-00943,https://www.federalregister.gov/documents/2016/01/20/2016-00943/endangered-and-threatened-wildlife-and-plants-final-listing-determinations-on-proposal-to-list-the,https://www.gpo.gov/fdsys/pkg/FR-2016-01-20/pdf/2016-00943.pdf,01/20/2016
"Programmatic Environmental Assessment on the Issuance of Take Authorizations in Cook Inlet, Alaska",Notice,Commerce Department; National Oceanic and Atmospheric Administration,"The National Marine Fisheries Service (NMFS) announces: Its intent to prepare a Programmatic Environmental Assessment (EA) to analyze the environmental impacts of issuing annual Incidental Take Authorizations (ITAs) pursuant to the Marine Mammal Protection Act (MMPA) for the taking of marine mammals incidental to anthropogenic activities in the waters of Cook Inlet, AK, for the 2016 season and; its intent to institute an MMPA authorization cycle wherein companies planning to submit MMPA incidental harassment authorization applications for work to be conducted in Cook Inlet in 2016 do so by no later than October 1, 2015.", 2015-19814,https://www.federalregister.gov/documents/2015/08/12/2015-19814/programmatic-environmental-assessment-on-the-issuance-of-take-authorizations-in-cook-inlet-alaska,https://www.gpo.gov/fdsys/pkg/FR-2015-08-12/pdf/2015-19814.pdf,08/12/2015
