id,agency,date,awardee,affiliation,title,fund,publicAccess,report
1650589,NSF,09/13/2016,Deirdre Mulligan,University of California-Berkeley,INSPIRE: Value-Function Handoffs in Human-Machine Compositions that are under Design for the Internet of Things,970270,True,
1505773,NSF,08/17/2015,Bjoern Hartmann,University of California-Berkeley,Synergy: Collaborative: CPS-Security: End-to-End Security for the Internet of Things,524975,True,
1703014,NSF,04/03/2017,Xiaojun Lin,Purdue University,WiFiUS:Collaborative Research: Low Overhead Wireless Access Solutions for Massive and Dynamic IoT Connectivity,150000,True,
1617288,NSF,07/15/2016,M. Zubair Shafiq,University of Iowa,NeTS: Small: Collaborative Research: Towards Scalable and Energy Efficient Cellular IoT Communication,166000,True,
1553340,NSF,12/23/2015,Stacy Patterson,Rensselaer Polytechnic Institute,CAREER: Toward A Machine Learning Framework for the Internet of Things,246176,True,
1524634,NSF,06/09/2015,Walid Saad,Virginia Polytechnic Institute and State University,EAGER: Cyber-Physical Fingerprinting for Internet of Things Authentication: Accelerating IoT Research and Education Under the Global City Teams Challenge,150000,True,
1040614,NSF,08/26/2010,Charles Cotton,University of Delaware,FIA: Collaborative Research: NEBULA: A Future Internet That Supports Trustworthy Cloud Computing,451922,True,| The NEBULA effort at the University of Delaware has focused on the research and development of software systems components needed to build non-stop High-Availability (HA) router platform infrastructure.  Under this project the a High Availability (HA) registration system, System IS-IS (SIS-IS), was created and the systems performance was contrasted with alternate implementations.  Additionally, several prototypes of a HA forwarding and routing system, HARRS (Highly Available Redundant Routing System), was completed and documented along with initial performance characterizations.  While this effort's goal of creating high availability software systems has made progress exploring the primary use case of building reliable non-stop routing and forwarding systems, it has opened several new areas of investigation.  The effort's secondary goal of self-configuring and self-organizing systems has unique application to the coming ubiquitous deployment of network-connected embedded computing devices known as the Internet of Things (IoT).  Failure to incorporate and enhance these concepts into this future environment will yield complex systems incapable of being controlled or upgraded over their product lifetime and worse, lead to aging connected computers which become ever more susceptible to attack and compromise due to unpatched software flaws.  PRODUCTS  The results of this projects have been disseminated to communities of interest various academic publications, conference proceedings, and talks.  The high-availability technology and techniques for self-organization and self-configuration researched and developed under this effort were shared with both router manufacturers and potential carrier users of this technology.  Products from this grant include a book chapter, six journal, conference papers or other publications and two thesis.  Details follow:  Book Chapters  Tom Anderson, Ken Birman, Robert Broberg, Matthew Caesar, Douglas Comer, Chase Cotton, Michael J. Freedman, Andreas Haeberlen, Zachary G. Ives, Arvind Krishnamurthy, William Lehr, Boon Thau Loo, David Mazi`eres, Antonio Nicolosi, Jonathan M. Smith, Ion Stoica, Robbert van Renesse, Michael Walfish, HakimWeatherspoon, and Christopher S. Yoo (2013). The NEBULA Future Internet Architecture. Lecture Notes in Computer Science (LNCS), The Future Internet 7858  Alex Galis, Anastasius Gavras.  Springer Verlag.  16.   Journals  Tom Anderson, Ken Birman, Robert Broberg, Matthew Caesar, Douglas Comer, Chase Cotton, Michael J. Freedman, Andreas Haeberlen, Zachary G. Ives, Arvind Krishnamurthy, William Lehr, Boon Thau Loo, David Mazi&egrave;res, Antonio Nicolosi, Jonathan M. Smith, Ion Stoica, Robbert van Renesse, Michael Walfish, Hakim Weatherspoon, and Christopher S. Yoo (2014). A brief overview of the NEBULA future internet architecture.  SIGCOMM Comput. Commun. Rev.. 44 (3),  81.   Other Conference Presentations / Papers  Hristo Asenov, Stephen Sigwart, Chase Cotton (2015). A routing based resource registry.. Communications and Networking (BlackSeaCom),. Constanta, Romania. R. Broberg, A. Agapi, K. Birman, D. Comer, C. Cotton, T. Kielmann, W. Lehr, R. VanRenesse, R. Surton, and J. M. Smith (2011). Clouds, Cable And Connectivity: Future Internets And Router Requirements. 2011 Cable Connection Spring Technical Conference. Chicago, IL. Hristo Asenov, Chase Cotton (2015). Next Generation Resilient Redundant Router. 2015 IEEE 16th International Conference on High Performance Switching and Routing. Budapest, Hungary.  S. Sigwart, H. Asenov, C. Cotton (2011). System IS-IS: A Routing Based Resource Registry. Future Internet Architecture Workshop. University of Pennsylvania, Philadelphia, PA.   Other Publications  Agapi, K. Birman, R. Broberg, C. Cotton, T. Kielmann, M. Millnert, R. Payne, R. Surton, and R. VanRenesse (2011). Routers for the Cloud. Can the Internet Achieve 5-Nines Availability?.  IEEE Internet Computing, Volume 15, Issue 5, pp.72-77.    Thesis/Dissertation  Fatema Banna...|
1514260,NSF,08/12/2015,Can Koksal,Ohio State University,NeTS: Medium: Connecting the Next Billion: Rethinking Wireless Network Design Principles for the Internet-of-Everything,449901,True,
1619441,NSF,07/15/2016,Kadangode Ramakrishnan,University of California-Riverside,NeTS: Small: Collaborative Research:Towards Scalable and Energy Efficient Cellular IoT Communication,167998,True,
1513213,NSF,04/23/2015,John Heidemann,University of Southern California,CI-P: Planning for Identity and Naming Experimentation Shared Testbed,100000,True,| The premise of CI-P: Planning for Identity and Naming Experimentation Shared Testbed (PINEST), is that a shared research infrastructure around DNS (the Internet's Domain Name System) and Internet naming can revitalize this area of Internet research.  As a planning grant, our major goal is to reduce the risks of a future full proposal. We must insure that research has zero impact on correct operation and end-user privacy. Planning also will promote initial discussions and community building to begin rebuilding this research area.  Outcomes of this work  The project has prototyped a full query measurement infrastructure for a root-server. This prototype demonstrates the viability of measurement collection at Root-server scales, as required in a full research infrastructure for Internet naming. The project has prototyped methods for appropriate data sharing, with different options for flexibility in what is shared. Data sharing will be required in a full research infrastructure for Internet naming; these initial data sharing mechanisms show that sharing is viable. Our initial steps in DNS experimentation help reduce the risk for the experimental component of a full research infrastructure for Internet naming. (Experimentation at the rates of a Root server is a major risk in a full research infrastructure.) The DINR-2016 workshop shows there is significant academic interest in areas of Internet naming, with work at many institutions with topics on measurement, tools, systems design, security (attack and defense), privacy (both general privacy, interactions with protocols such as TOR, and NSEC), and Internet-of-Things.           Last Modified: 11/11/2016       Submitted by: John S Heidemann|
1346854,NSF,07/23/2013,Petar Djuric,SUNY at Stony Brook,EAGER: RFID Sense-a-Tags for the Internet of Things,159816,True,| The science behind communication by means of reflected signals or backscatter has been studied for several decades. In recent years this technique has seen a widespread practical application in the form of Radio Frequency Identification (RFID). It is expected that the RFID technology will play a prominent role in enabling the Internet of Things (IoT), where physical objects will be connected to other objects and to the cyberspace. Typical backscatter RFID systems consist of an active reader that transmits a query signal and passive tags that communicate with the reader by reflecting part of this signal. This communication technique allows for tags that are very inexpensive and consume very low power. Traditional passive RFID has long been thought of as the 'last link' in the IoT, enabling visibility and connectivity for all items regardless of size, cost and volume. This is primarily due to the very low cost and low power consumption of passive RFID tags.  However, use of traditional RFID technology requires a centralized model wherein one high-cost reader initiates and controls communication with a population of tags in it vicinity. This has been a major roadblock to the advancement of the IoT.  An alternative is to design RFID tags that have the capability to communicate with other tags in their proximity without traditional readers. In other words, the basic premise is to develop a system of tags that is based on backscatter tag-to-tag communication. With this system, one can overcome the limitations of traditional RFID systems and help realize the vision of the IoT. It can allow ubiquitously tagged objects to independently communicate with each other without being controlled by a single reader.  In the new systems, passive radio-less tags communicate by reflecting an external excitation signal.  The external exciter does not need to send out modulated commands or decode tag responses. This makes the exciters required for the new system deployment much less expensive than RFID readers. Moreover, the exciters do not need to be networked or synchronized in any way. This minimizes the deployment effort. In many cases, the new system deployments can make use of pre-existing sources of excitation in an application environment such as TV towers and wireless access points. In these cases, the deployment cost and effort for the new system would be almost zero.  In this project we proposed to address the feasibility of designing backscattering devices that can communicate independently and that can become the basic building blocks of the new system. More specifically, we investigated the design of novel tags that have the following functionalities: (a) passive detection and decoding of backscatter signals from RFID tags in their proximity, (b) processing of information that they acquire during their operation, and (c) communication of the collected information by backscattering.  In our work we were able to develop a prototype of a tag that is able to communicate with other tags in its proximity without the presence of a commercial RFID reader. We demonstrated the performance of the tag in a lab environment and showed that in the presence of exciters, tags can readily communicate if they are 1-3 m apart.   We have identified an intrinsic problem of the new system that was rather challenging. Namely due to the nature of the communication, phase cancellation occurs in numerous locations of the tag space. This makes the communication between tags when they are at these locations impossible. However, we analyzed the theory behind the problem and proposed several solutions for overcoming it. We then built tags based on the proposed solutions and demonstrated that these tags did not suffer from phase cancellation.  The merits of the proposed work are in the design of novel tags. We developed theory for their optimization and built their prototypes. We then studied their performance in a laboratory environment.  In the project, we have wo...|
